Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2021-09-28,3577.889892578125,6634.72021484375,7063.39990234375,15542.0302734375,4419.5400390625,20379.5,3133.39990234375,30142.380859375,17906.44921875
2021-09-29,3573.52001953125,6549.41015625,7028.10009765625,15357.0,4362.41015625,20223.69921875,3055.5,29611.919921875,17657.94921875
2021-09-30,3541.929931640625,6615.990234375,7108.2001953125,15434.330078125,4370.669921875,20186.5,3054.8701171875,29569.189453125,17718.900390625
2021-10-08,3609.090087890625,6609.509765625,7078.0,15242.759765625,4406.509765625,20469.5,2977.820068359375,28031.369140625,17886.849609375
2021-10-12,3581.300048828125,6495.14990234375,7146.89990234375,15025.349609375,4368.31005859375,20412.69921875,2950.219970703125,28458.880859375,17915.80078125
2021-10-13,3543.489990234375,6539.60986328125,7130.2001953125,15130.7998046875,4358.009765625,20468.099609375,2913.340087890625,28085.439453125,18097.849609375
2021-10-14,3555.110107421875,6651.18017578125,7141.7998046875,15350.7197265625,4386.75,20746.19921875,2968.8701171875,28264.41015625,18272.849609375
2021-10-18,3571.050048828125,6697.2900390625,7234.0,15518.58984375,4463.72021484375,20898.599609375,3017.47998046875,29093.8203125,18500.099609375
2021-10-19,3562.300048828125,6690.9501953125,7203.7998046875,15510.990234375,4497.33984375,21053.80078125,3022.22998046875,29117.279296875,18602.349609375
2021-10-20,3583.239990234375,6636.60986328125,7217.5,15473.5595703125,4524.419921875,21079.099609375,3043.1298828125,29385.94921875,18439.900390625
2021-10-21,3590.050048828125,6673.14013671875,7223.10009765625,15408.7998046875,4532.240234375,21137.400390625,3012.280029296875,29152.740234375,18382.69921875
2021-10-22,3594.75,6720.919921875,7190.2998046875,15507.990234375,4546.1201171875,21219.099609375,3005.360107421875,28578.529296875,18230.69921875
