Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2018-07-31,118900.0,97712800.0,915075400.0,106509800.0,3906890000.0,218906200.0,223900.0,115400000.0,256500.0
2018-08-01,149500.0,81015200.0,975009600.0,93510500.0,3501350000.0,183217000.0,219000.0,100800000.0,269700.0
2018-08-02,174200.0,95127100.0,1006803400.0,103271900.0,3501380000.0,177619800.0,352100.0,94500000.0,210000.0
2018-08-03,127000.0,72256600.0,649947700.0,79345300.0,3043690000.0,169210300.0,270500.0,71700000.0,218300.0
2018-08-07,149600.0,65874000.0,675716300.0,87114600.0,3185440000.0,247971400.0,230300.0,69400000.0,226400.0
2018-08-08,147700.0,57616100.0,604063500.0,89371000.0,2978070000.0,173124600.0,299700.0,72800000.0,210500.0
2018-08-09,151700.0,55242100.0,565689200.0,71701900.0,3066180000.0,178858400.0,244900.0,61800000.0,302200.0
2018-08-10,121500.0,103117500.0,664153400.0,0.0,3265590000.0,181112000.0,286200.0,73900000.0,0.0
2018-08-13,127500.0,66875100.0,595242100.0,92773600.0,3173630000.0,169202400.0,335400.0,77800000.0,246900.0
2018-08-14,109600.0,68465700.0,763645300.0,82021800.0,2986500000.0,187168600.0,255200.0,59700000.0,232600.0
2018-08-16,120300.0,64762100.0,771423800.0,81469900.0,3232000000.0,199689700.0,312500.0,77900000.0,290600.0
2018-08-17,112400.0,64188500.0,602739600.0,86038300.0,3037640000.0,173991100.0,238400.0,56100000.0,234700.0
2018-08-20,110800.0,48284100.0,559541000.0,59670900.0,2757150000.0,208751900.0,271600.0,46800000.0,232600.0
2018-08-21,113600.0,56477500.0,543548500.0,68597400.0,3174010000.0,219442800.0,294300.0,54500000.0,224200.0
2018-08-23,98400.0,52041400.0,574932100.0,63669000.0,2724450000.0,171141500.0,338400.0,50100000.0,248500.0
2018-08-24,100500.0,52056700.0,507869800.0,59051400.0,2603010000.0,211605900.0,347300.0,50400000.0,218800.0
2018-08-28,118700.0,62817700.0,585715100.0,72899400.0,2687770000.0,198610200.0,276900.0,60700000.0,241900.0
2018-08-29,100200.0,52978800.0,688677800.0,58192500.0,2805520000.0,180128300.0,268200.0,58800000.0,251600.0
2018-08-30,106100.0,64286100.0,623166000.0,73686200.0,2810450000.0,216595200.0,286900.0,73900000.0,313800.0
2018-08-31,109800.0,89131200.0,812932000.0,90277000.0,2887220000.0,217160800.0,255900.0,68100000.0,346500.0
2018-09-04,109000.0,79249300.0,652803100.0,84476300.0,3087420000.0,239502100.0,277000.0,52300000.0,254800.0
2018-09-05,105000.0,103548700.0,769494800.0,109489900.0,3248780000.0,255580900.0,358200.0,65400000.0,246100.0
2018-09-06,99000.0,79501100.0,723693100.0,87442600.0,3144240000.0,229173900.0,387500.0,62200000.0,247900.0
2018-09-07,107500.0,83620300.0,863004900.0,101789700.0,2976580000.0,225132900.0,357600.0,69800000.0,295900.0
2018-09-10,103600.0,71394000.0,696321800.0,80490500.0,2751100000.0,200681100.0,312600.0,55700000.0,286700.0
2018-09-11,99900.0,74742700.0,644115800.0,0.0,2904500000.0,215647000.0,368200.0,76500000.0,0.0
2018-09-12,90000.0,75458800.0,677165600.0,112286500.0,3341280000.0,266571000.0,336800.0,79800000.0,268200.0
2018-09-14,100000.0,66793100.0,577288900.0,77747100.0,3179410000.0,194435900.0,292200.0,102700000.0,276600.0
2018-09-18,115800.0,80228500.0,700366200.0,84144700.0,3091190000.0,228914700.0,309200.0,90600000.0,240900.0
2018-09-19,141600.0,85324800.0,762448100.0,98540100.0,3302460000.0,348868600.0,350900.0,93600000.0,250600.0
2018-09-21,158000.0,222510800.0,1504423700.0,400165400.0,5652470000.0,497537500.0,321700.0,120600000.0,719000.0
2018-09-27,124000.0,74700600.0,646428000.0,89854700.0,3101360000.0,224428600.0,279200.0,76200000.0,405700.0
