Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2023-07-21,3157.330078125,7379.6201171875,7639.5,16103.48046875,4535.7900390625,20479.30078125,2570.580078125,32080.94921875,19700.0
2023-07-24,3151.1298828125,7390.81982421875,7633.2998046875,16121.26953125,4541.2900390625,20551.5,2595.2099609375,32554.4609375,19658.30078125
2023-07-25,3201.4599609375,7401.830078125,7676.5,16135.599609375,4552.419921875,20543.5,2621.60009765625,32509.939453125,19615.94921875
2023-07-26,3212.8798828125,7251.02001953125,7630.0,16000.0400390625,4547.580078125,20492.400390625,2580.97998046875,32488.51953125,19716.69921875
2023-07-27,3210.469970703125,7340.02978515625,7662.39990234375,16131.6396484375,4528.56005859375,20370.5,2586.360107421875,32503.689453125,19603.55078125
2023-07-28,3200.989990234375,7416.2001953125,7680.2001953125,16336.419921875,4564.009765625,20449.5,2586.330078125,32037.55078125,19563.099609375
2023-07-31,3281.012939453125,7464.64990234375,7667.7998046875,16427.470703125,4573.14013671875,20541.80078125,2622.2099609375,33025.9296875,19597.599609375
2023-08-01,3279.56591796875,7403.16015625,7650.2001953125,16240.400390625,4567.52978515625,20468.69921875,2639.10009765625,33203.87890625,19704.599609375
2023-08-02,3252.303955078125,7287.0400390625,7522.2001953125,15955.3095703125,4505.75,20148.19921875,2611.77001953125,32628.2890625,19423.55078125
2023-08-03,3247.27197265625,7213.8701171875,7437.89990234375,15807.849609375,4485.5400390625,20077.5,2591.300048828125,32142.25,19296.44921875
2023-08-04,3281.73388671875,7244.18994140625,7487.39990234375,15784.51953125,4474.5498046875,20146.400390625,2598.3798828125,31934.349609375,19436.44921875
2023-08-08,3246.669921875,7219.1201171875,7487.5,15706.3095703125,4464.39013671875,20089.900390625,2568.14990234375,32238.58984375,19533.099609375
2023-08-09,3240.2900390625,7317.3798828125,7527.39990234375,15831.080078125,4461.330078125,20211.80078125,2576.2099609375,32175.640625,19467.5
2023-08-10,3234.1201171875,7368.9501953125,7572.60009765625,15880.41015625,4457.919921875,20279.69921875,2590.02001953125,32015.9609375,19495.400390625
2023-08-14,3141.659912109375,7309.93994140625,7476.5,15817.58984375,4453.43994140625,20237.900390625,2561.8798828125,32031.5390625,19257.900390625
2023-08-16,3149.719970703125,7241.10009765625,7338.5,15725.099609375,4403.5498046875,19852.0,2520.8701171875,31766.8203125,19317.19921875
2023-08-17,3123.25,7183.5,7305.0,15664.2998046875,4364.830078125,19792.5,2482.06005859375,31309.6796875,19326.25
2023-08-18,3131.949951171875,7092.72021484375,7215.7998046875,15468.650390625,4335.31005859375,19683.900390625,2489.6298828125,31275.25,19253.599609375
2023-08-21,3092.97998046875,7165.06982421875,7250.89990234375,15571.8203125,4360.2998046875,19733.5,2505.590087890625,31409.859375,19296.30078125
