Date,000001.SS,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^KS11,^N225,^NSEI
2022-06-28,3409.2099609375,6086.02001953125,7323.39990234375,13231.8203125,3821.550048828125,19222.69921875,2422.090087890625,27049.470703125,15850.2001953125
2022-06-29,3361.52001953125,6031.47998046875,7312.2998046875,13003.349609375,3818.830078125,19078.599609375,2377.989990234375,26804.599609375,15799.099609375
2022-06-30,3398.6201171875,5922.85986328125,7169.2998046875,12783.76953125,3785.3798828125,18861.400390625,2332.639892578125,26393.0390625,15780.25
2022-07-05,3404.030029296875,5794.9599609375,7025.5,12401.2001953125,3831.389892578125,18834.19921875,2341.780029296875,26423.470703125,15810.849609375
2022-07-06,3355.35009765625,5912.3798828125,7107.7998046875,12594.51953125,3845.080078125,18729.69921875,2292.010009765625,26107.650390625,15989.7998046875
2022-07-07,3364.39990234375,6006.7001953125,7189.10009765625,12843.2197265625,3902.6201171875,19063.19921875,2334.27001953125,26490.529296875,16132.900390625
2022-07-08,3356.080078125,6033.1298828125,7196.2001953125,13015.23046875,3899.3798828125,19022.900390625,2350.610107421875,26517.189453125,16220.599609375
2022-07-11,3313.580078125,5996.2998046875,7196.60009765625,12832.4404296875,3854.429931640625,18816.80078125,2340.27001953125,26812.30078125,16216.0
2022-07-12,3281.469970703125,6044.2001953125,7209.89990234375,12905.48046875,3818.800048828125,18678.599609375,2317.760009765625,26336.66015625,16058.2998046875
2022-07-13,3284.2900390625,6000.240234375,7156.39990234375,12756.3203125,3801.780029296875,18615.19921875,2328.610107421875,26478.76953125,15966.650390625
2022-07-14,3281.739990234375,5915.41015625,7039.7998046875,12519.66015625,3790.3798828125,18329.099609375,2322.320068359375,26643.390625,15938.650390625
2022-07-15,3228.06005859375,6036.0,7159.0,12864.7197265625,3863.159912109375,18394.5,2330.97998046875,26788.470703125,16049.2001953125
2022-07-19,3279.429931640625,6201.22021484375,7296.2998046875,13308.41015625,3936.68994140625,18937.69921875,2370.969970703125,26961.6796875,16340.5498046875
2022-07-20,3304.719970703125,6184.66015625,7264.2998046875,13281.98046875,3959.89990234375,19020.69921875,2386.85009765625,27680.259765625,16520.849609375
2022-07-21,3272.0,6201.10986328125,7270.5,13246.6396484375,3998.949951171875,19062.900390625,2409.159912109375,27803.0,16605.25
2022-07-22,3269.969970703125,6216.81982421875,7276.39990234375,13253.6796875,3961.6298828125,18982.900390625,2393.139892578125,27914.66015625,16719.44921875
