Date,000001.SS,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^KS11,^N225,^NSEI
2018-03-22,3288.797119140625,5231.169921875,7039.0,12267.169921875,2695.679931640625,15570.900390625,2508.7099609375,21592.0,10207.849609375
2018-03-23,3188.235107421875,5128.7099609375,6952.7998046875,12001.7802734375,2657.669921875,15455.599609375,2450.39990234375,21188.80078125,10027.7001953125
2018-03-26,3134.27587890625,5126.990234375,6958.5,11984.5,2661.360107421875,15356.900390625,2437.080078125,20766.099609375,10143.5
2018-03-27,3172.778076171875,5149.0498046875,7042.39990234375,12042.7802734375,2674.780029296875,15367.5,2456.550048828125,21317.3203125,10207.900390625
2018-03-28,3165.212890625,5130.43994140625,7044.7001953125,11961.16015625,2632.64990234375,15232.0,2430.77001953125,21031.310546875,10158.349609375
2018-04-03,3144.33203125,5171.6201171875,7065.0,12069.48046875,2619.139892578125,15228.0,2442.429931640625,21333.5,10255.349609375
2018-04-04,3163.340087890625,5163.6298828125,7046.2998046875,12011.1201171875,2649.860107421875,15180.099609375,2447.969970703125,21415.849609375,10279.849609375
2018-04-09,3146.093017578125,5289.72021484375,7209.7001953125,12371.1103515625,2653.550048828125,15320.5,2446.280029296875,21737.08984375,10397.7001953125
2018-04-10,3190.64892578125,5312.8798828125,7266.7998046875,12428.900390625,2665.449951171875,15339.7998046875,2454.360107421875,21933.990234375,10424.849609375
2018-04-11,3220.844970703125,5303.31982421875,7270.2998046875,12381.5302734375,2661.429931640625,15318.900390625,2458.989990234375,21837.359375,10428.150390625
2018-04-12,3205.251953125,5309.97021484375,7266.60009765625,12434.240234375,2674.719970703125,15313.599609375,2454.949951171875,21719.4296875,10469.900390625
2018-04-13,3197.89599609375,5339.0498046875,7275.0,12523.9697265625,2680.260009765625,15349.599609375,2457.85009765625,21917.349609375,10519.900390625
2018-04-16,3153.10595703125,5322.41015625,7265.7998046875,12487.0400390625,2686.489990234375,15326.099609375,2466.159912109375,21879.689453125,10540.150390625
2018-04-17,3118.760009765625,5370.22998046875,7240.39990234375,12614.25,2713.340087890625,15404.5,2465.6298828125,21889.890625,10560.4501953125
2018-04-18,3096.888916015625,5381.740234375,7325.60009765625,12640.25,2717.489990234375,15576.7001953125,2486.72998046875,22194.109375,10594.2001953125
